DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
219_910401,1,0.967517375,0.827687107,0.256657463,-0.03715009,-0.036655096,-0.036172697,-0.038970108,-0.036571967,-0.036595898,0.289047657,1.013104124,-25.3378664,3.95E-25
200_1327766,1,0.996748608,0.840074031,0.589666078,0.589962268,0.336281333,0.140837306,0.10719244,0.062629911,0.067180316,0.421455061,0.927844523,-6.299793007,0.016591245
276_906835,1,0.963398173,0.944389831,0.892856477,0.908221791,0.788420404,0.608719616,0.460534902,0.178139461,0.158861121,0.720922044,1.077125741,-8.229539299,0.040393397
346_905941,1,0.967271792,0.762330076,0.349568393,0.25463804,0.211340696,0.209676433,0.196409779,0.178953771,0.158633861,0.253164727,1.232270863,-19.4037,0.195445569
273_907058,1,0.962311692,0.960251539,0.915142761,0.88908388,0.818948158,0.499511675,0.241496507,0.160769791,0.134898196,0.640570047,1.207281045,-14.55218657,0.129779169
134_906869,1,0.9577222,0.778330026,0.696416424,0.483537447,0.480071474,0.343895035,0.350910605,0.264023607,0.243588669,0.288173393,1.018384942,-4.880645434,0.226826403
245_907791,1,0.950522303,0.975565475,0.95538353,0.953429968,0.90920593,0.862150361,0.234776797,0.002385561,-0.00118787,0.738219201,1.043252677,-29.54780864,3.39E-25
176_909777,1,0.951875815,0.979321616,0.936617864,0.927127923,0.74128143,0.376167796,0.08562474,0.058232109,0.049667728,0.623488237,1.073321215,-16.23628372,0.037598716
170_1240190,1,0.98286641,0.929197925,0.974423473,0.449241929,0.022115801,0.009846681,0.013949491,0.006797964,0.005211,0.440149985,1.039797833,-50.22528762,0.010953474
134_910924,1,0.959997761,0.771360425,0.78470089,0.635275285,0.286114814,0.131653805,0.111186597,0.057058145,0.072495116,0.463825763,1.113619002,-10.39164822,0.05273942
167_1331038,1,0.998601554,0.969658952,0.87520316,0.632603163,0.568931473,0.494533802,0.323963468,0.016094458,0.006546121,0.597318015,0.969492654,-6.285338387,2.48E-19
252_910944,1,0.970728278,0.944286098,0.888914223,0.681219819,0.393042843,0.057831377,0.013914094,0.010172004,0.001829812,0.511080113,1.024620226,-13.54579277,1.73E-17
1007_906864,1,0.986072363,0.928085021,0.811516927,0.269841669,0.449204381,0.217395028,0.222635692,0.137251546,0.126816892,0.361689311,1.337975906,-33.03345105,0.227276103
134_906763,1,0.97983082,0.920593273,0.822910023,0.503201816,0.013934444,0.026709663,0.009922531,0.006706517,0.048196569,0.438845823,1.053719199,-21.80748121,0.008899403
293_1240121,1,0.961051345,0.957105215,0.626436415,0.270325852,0.113839744,0.066473645,0.049162438,0.045025899,0.047392893,0.362185042,1.052512781,-15.91391916,0.053655996
274_909755,1,0.977702866,0.785814225,0.472865222,0.167523398,0.059804003,0.002950213,0.172318638,-0.00268972,-0.001758581,0.31170771,1.020509168,-13.94944644,0.037945505
276_909761,1,0.995167759,0.979491944,0.976139226,0.929788284,0.845688727,0.718592434,0.436113347,0.143020302,0.11164781,0.73889633,1.049962861,-11.04100391,0.03107831
1003_753531,1,0.958435758,0.696768579,0.865289791,0.529308683,0.281114434,0.218668784,0.156657802,0.117293081,0.096684332,0.430072463,1.159878585,-9.360904696,0.102449
276_909756,1,0.996765315,0.939348676,0.958395471,0.953382662,0.387707735,0.117710732,0.041295575,0.037142373,0.046843459,0.536106058,1.08488432,-32.2777398,0.056013651
182_753552,1,0.953642531,0.978595128,0.862331226,0.916217255,0.800695236,0.703164781,0.027736524,0.000163814,-0.003721119,0.694520876,1.086908902,-37.98538925,1.80E-14
344_910688,1,0.986083405,0.700918519,0.778269695,0.533402198,0.017230107,0.018234577,0.010791732,0.021422375,0.025956441,0.450599691,1.148368305,-26.04021309,0.008133665
170_906862,1,0.984034886,0.884022061,0.774506022,0.384213805,0.137062449,0.00466478,0.003564765,0.00433565,0.003124102,0.414885383,1.012047433,-13.93967871,8.58E-26
134_1299062,1,0.976261516,0.953051755,0.756747647,0.568783664,0.524910312,0.416801788,0.379808756,0.146036331,0.111480079,0.540368221,0.85893747,-4.03818989,1.22E-19
328_909729,1,0.954267939,0.897948767,0.715296081,0.446090921,0.352113629,0.226171337,0.182622084,0.184044164,0.204868937,0.366474961,1.210624604,-10.25405159,0.188065126
328_1240173,1,0.958039719,0.775548966,0.586525234,0.535422093,0.326885071,0.182627903,0.1854056,0.206781025,0.196303744,0.322738381,1.079475868,-6.96326374,0.164027906
245_907056,1,0.978758185,0.862047748,0.696340834,0.627971486,0.570390516,0.338782517,0.041320089,0.009881386,0.004642713,0.535872498,1.019274914,-7.201200964,5.04E-25
1053_906862,1,0.978865655,0.804546402,0.705738033,0.452642259,0.246643521,0.128608672,0.080212301,0.057322652,0.055322486,0.401327872,1.009012014,-8.443647567,0.040817525
328_908467,1,0.990376495,0.972475574,0.779192654,0.608960516,0.503831147,0.423258401,0.354108457,0.306634238,0.312594013,0.378696293,1.360007845,-8.155520638,0.311593156
133_1295740,1,0.977385426,0.859403024,0.796887924,0.722287213,0.412765222,0.162508959,0.071462313,0.028559038,0.027351761,0.521330003,1.040602877,-10.04856673,0.00365438
155_909743,1,0.987561377,0.988396494,0.885540026,0.827890685,0.687348854,0.530640485,0.458283491,0.361644131,0.343758235,0.523854442,1.421973593,-7.334421182,0.311551603
60_910706,1,0.98414497,0.914185702,0.930567812,0.962782848,0.742754489,0.283093411,0.033577254,0.049260743,0.098773194,0.607290254,1.103031522,-21.6671028,0.055390541
301_753556,1,0.985840423,0.81231818,0.76511117,0.686764871,0.55985733,0.234881731,0.222634401,0.057094865,0.026386347,0.547037552,1.004279082,-6.633703519,2.51E-22
201_909704,1,0.980728093,0.877737436,0.73817709,0.329883578,0.150504913,0.131352625,0.039926848,0.034033836,0.030330458,0.388077794,1.055252544,-13.46348539,0.049364754
136_907295,1,0.955641793,0.915297789,0.703988313,0.645368328,0.218369169,0.256588093,0.14700905,0.019504266,0.02463224,0.45974695,0.988290927,-7.64880478,0.019717313
